# MIRI xml field format reference file for SIAF
# 
# This file describes the format and order of the XML fields present in the SIAF.
# This is compliant with the IRCD (JWST-STScI-000949) and complementary because the decimal
# precision of float fields is specified.
# 
# Generated 2018-02-20T02:00:15.117 utc
# jsahlmann@nereus.local.stsci.edu
# 
field_nr ,           field_name ,     format ,   pyformat ,                        example
   1.100 ,           Idl2SciY11 ,      float ,       .14e ,           9.05480982976337E+00
   1.101 ,           Idl2SciY20 ,      float ,       .14e ,          -1.75962229751375E-05
   1.102 ,           Idl2SciY21 ,      float ,       .14e ,           1.32485697400834E-03
   1.103 ,           Idl2SciY22 ,      float ,       .14e ,           1.73344517664145E-05
   1.104 ,           Idl2SciY30 ,      float ,       .14e ,           3.71653658860166E-07
   1.105 ,           Idl2SciY31 ,      float ,       .14e ,           6.02533623234010E-07
   1.106 ,           Idl2SciY32 ,      float ,       .14e ,          -4.65623032243145E-08
   1.107 ,           Idl2SciY33 ,      float ,       .14e ,          -1.67163505868630E-06
   1.108 ,           Idl2SciY40 ,      float ,       .14e ,           9.23715896356800E-09
   1.109 ,           Idl2SciY41 ,      float ,       .14e ,          -8.11325135631500E-08
   1.110 ,           Idl2SciY42 ,      float ,       .14e ,           6.97991330713600E-09
   1.111 ,           Idl2SciY43 ,      float ,       .14e ,          -6.58477412125900E-08
   1.112 ,           Idl2SciY44 ,      float ,       .14e ,          -5.99459215858400E-09
   1.113 ,           Idl2SciY50 ,       None ,       None ,                           None
   1.114 ,           Idl2SciY51 ,       None ,       None ,                           None
   1.115 ,           Idl2SciY52 ,       None ,       None ,                           None
   1.116 ,           Idl2SciY53 ,       None ,       None ,                           None
   1.117 ,           Idl2SciY54 ,       None ,       None ,                           None
   1.118 ,           Idl2SciY55 ,       None ,       None ,                           None
